Year,Month,Day,Temperature,Pressure,Relative Humidity,Clouds,Dew point,Wx,Wy,Temperature_lag1,Temperature_lag2,Temperature_lag3,Pressure_lag1,Relative Humidity_lag1,Clouds_lag1,Dew point_lag1,Dew point_lag2,Wx_lag1,Wy_lag1
2020,1,1,-1.25837677147063,1.6212248742332909,-0.05207531560762097,0.006557985264949086,-1.1968326680510784,2.1096852424557455,-2.289603803184155,-1.25837677147063,-1.25837677147063,-1.25837677147063,1.6212248742332909,-0.05207531560762097,0.006557985264949086,-1.1968326680510784,-1.1968326680510784,2.1096852424557455,-2.289603803184155
2020,1,2,-1.27152550773123,2.0552273175805764,0.19253048150690352,-0.7963366093230991,-1.4541310573112571,0.17377348063834466,-0.2976453477834913,-1.25837677147063,-1.25837677147063,-1.25837677147063,1.6212248742332909,-0.05207531560762097,0.006557985264949086,-1.1968326680510784,-1.1968326680510784,2.1096852424557455,-2.289603803184155
2020,1,3,-1.286778041793526,1.6165017521170681,1.1774764912213884,-0.8134194730377383,-1.3880003697908225,-0.3139526493600324,0.326835090368148,-1.27152550773123,-1.25837677147063,-1.25837677147063,2.0552273175805764,0.19253048150690352,-0.7963366093230991,-1.4541310573112571,-1.1968326680510784,0.17377348063834466,-0.2976453477834913
2020,1,4,-1.331483745079566,0.702315226952607,1.0992026361447407,0.3652981232723748,-1.4524638971216663,0.024854071426361625,0.2428078827567366,-1.286778041793526,-1.27152550773123,-1.25837677147063,1.6165017521170681,1.1774764912213884,-0.8134194730377383,-1.3880003697908225,-1.4541310573112571,-0.3139526493600324,0.326835090368148
2020,1,5,-1.35830716705119,0.5747909298142913,1.0307130129526738,0.4165467144162928,-1.1818282263447613,1.4485350007734223,-1.7229288511615033,-1.331483745079566,-1.286778041793526,-1.27152550773123,0.702315226952607,1.0992026361447407,0.3652981232723748,-1.4524638971216663,-1.3880003697908225,0.024854071426361625,0.2428078827567366
2020,1,6,-1.3630407121050059,1.8201207944613749,0.3425553704038112,-1.4113197030501146,-1.648077359366986,0.9280049353692377,-1.1164341849911195,-1.35830716705119,-1.331483745079566,-1.286778041793526,0.5747909298142913,1.0307130129526738,0.4165467144162928,-1.1818282263447613,-1.4524638971216663,1.4485350007734223,-1.7229288511615033
2020,1,7,-1.394597679130446,1.7728895732990326,1.1220325105420967,-0.8134194730377383,-1.9020414282479834,-0.21508595048202836,0.3675090525829094,-1.3630407121050059,-1.35830716705119,-1.331483745079566,1.8201207944613749,0.3425553704038112,-1.4113197030501146,-1.648077359366986,-1.1818282263447613,0.9280049353692377,-1.1164341849911195
2020,1,8,-1.4308881912097022,2.133421228171573,0.9491777472478319,-0.5230107898888698,-1.935940352102996,-0.28510564682434736,0.4772273274710853,-1.394597679130446,-1.3630407121050059,-1.35830716705119,1.7728895732990326,1.1220325105420967,-0.8134194730377383,-1.9020414282479834,-1.648077359366986,-0.21508595048202836,0.3675090525829094
2020,1,9,-1.4629711076855663,1.848984318505038,0.6458665588258216,0.5019610329894892,-1.9276045511550421,-0.4451941741341413,0.5814043274158884,-1.4308881912097022,-1.394597679130446,-1.3630407121050059,2.133421228171573,0.9491777472478319,-0.5230107898888698,-1.935940352102996,-1.9020414282479834,-0.28510564682434736,0.4772273274710853
2020,1,10,-1.469808450541078,1.045003976052709,0.7763229839535684,0.04072371269422761,-1.3474328051774467,-0.769998712415622,0.90558780053519,-1.4629711076855663,-1.4308881912097022,-1.394597679130446,1.848984318505038,0.6458665588258216,0.5019610329894892,-1.9276045511550421,-1.935940352102996,-0.4451941741341413,0.5814043274158884
2020,1,11,-1.473490096694046,1.3063500664843422,1.513401785925336,0.17738662241134243,-1.1523750629953238,0.21455950313770475,-0.13423565903073703,-1.469808450541078,-1.4629711076855663,-1.4308881912097022,1.045003976052709,0.7763229839535684,0.04072371269422761,-1.3474328051774467,-1.9276045511550421,-0.769998712415622,0.90558780053519
2020,1,12,-1.4682306021898062,1.825368707923867,1.4970947327843669,1.0827783992872264,-0.8239445056459378,0.1935254661079669,0.008327072626365182,-1.473490096694046,-1.469808450541078,-1.4629711076855663,1.3063500664843422,1.513401785925336,0.17738662241134243,-1.1523750629953238,-1.3474328051774467,0.21455950313770475,-0.13423565903073703
2020,1,13,-1.45823756263175,1.6369686146207383,1.5427544815790788,0.7240382612798006,-0.9978848854265772,-1.002470350634535,0.5205432827688319,-1.4682306021898062,-1.473490096694046,-1.469808450541078,1.825368707923867,1.4970947327843669,1.0827783992872264,-0.8239445056459378,-1.1523750629953238,0.1935254661079669,0.008327072626365182
2020,1,14,-1.456659714280478,1.4779568367075133,1.2557503462980364,0.5361267604187682,-1.2674091160770884,-1.010054704320812,0.8080266539869486,-1.45823756263175,-1.4682306021898062,-1.473490096694046,1.6369686146207383,1.5427544815790788,0.7240382612798006,-0.9978848854265772,-0.8239445056459378,-1.002470350634535,0.5205432827688319
2020,1,15,-1.4687565516402301,1.946595508907195,1.2492275250416494,-0.4546793350303126,-1.3579914863781881,-1.2502447723888346,0.7582056652328222,-1.456659714280478,-1.45823756263175,-1.4682306021898062,1.4779568367075133,1.2557503462980364,0.5361267604187682,-1.2674091160770884,-0.9978848854265772,-1.010054704320812,0.8080266539869486
2020,1,16,-1.4866388329546463,2.00222339160953,1.435127930848688,-0.4205136076010339,-1.3402084443558864,-0.5913888728799765,0.5909942684866449,-1.4687565516402301,-1.456659714280478,-1.45823756263175,1.946595508907195,1.2492275250416494,-0.4546793350303126,-1.3579914863781881,-1.2674091160770884,-1.2502447723888346,0.7582056652328222
