Year,Month,Day,Temperature,Pressure,Relative Humidity,Clouds,Dew point,Wx,Wy,Temperature_lag1,Temperature_lag2,Temperature_lag3,Pressure_lag1,Relative Humidity_lag1,Clouds_lag1,Dew point_lag1,Dew point_lag2,Wx_lag1,Wy_lag1
2020,1,1,-0.9903741859866576,0.9084222479223197,0.3953484296095333,-0.09539102834388988,-0.8402293762416347,2.059637964474791,-2.11995288210429,-0.9903741859866576,-0.9903741859866576,-0.9903741859866576,0.9084222479223197,0.3953484296095333,-0.09539102834388988,-0.8402293762416347,-0.8402293762416347,2.059637964474791,-2.11995288210429
2020,1,2,-1.1090104795204534,1.5424559090462353,0.10032580680739098,-0.00849164448940475,-1.262479955915172,-0.23327770171575102,-1.2722027335990158,-0.9903741859866576,-0.9903741859866576,-0.9903741859866576,0.9084222479223197,0.3953484296095333,-0.09539102834388988,-0.8402293762416347,-0.8402293762416347,2.059637964474791,-2.11995288210429
2020,1,3,-1.1668076481651233,0.8358867097361289,-0.5744599793889977,-0.8948653598051544,-1.3915756745414762,0.17947061243855517,-1.2495401106546005,-1.1090104795204534,-0.9903741859866576,-0.9903741859866576,1.5424559090462353,0.10032580680739098,-0.00849164448940475,-1.262479955915172,-0.8402293762416347,-0.23327770171575102,-1.2722027335990158
2020,1,4,-1.2053390939282365,0.05156358819766407,0.34513181296235984,-0.47774831730362516,-1.1850225247393893,0.015635994606898008,-0.813996842231494,-1.1668076481651233,-1.1090104795204534,-0.9903741859866576,0.8358867097361289,-0.5744599793889977,-0.8948653598051544,-1.3915756745414762,-1.262479955915172,0.17947061243855517,-1.2495401106546005
2020,1,5,-1.2078740574652833,0.01660041511510691,1.0136405220778517,0.9821613314517271,-0.8353882867931484,0.8455710877055829,-1.466937744741928,-1.2053390939282365,-1.1668076481651233,-1.1090104795204534,0.05156358819766407,0.34513181296235984,-0.47774831730362516,-1.1850225247393893,-1.3915756745414762,0.015635994606898008,-0.813996842231494
2020,1,6,-1.1510908742354324,1.584724819787841,0.6432929743049498,0.9821613314517271,-1.1091787900464354,1.8050515631871176,-0.6220321888251844,-1.2078740574652833,-1.2053390939282365,-1.1668076481651233,0.01660041511510691,1.0136405220778517,0.9821613314517271,-0.8353882867931484,-1.1850225247393893,0.8455710877055829,-1.466937744741928
2020,1,7,-1.2981187593841539,1.628037407337866,0.5585524337128451,-0.5125080708454193,-1.5308914708923629,0.4080723232203264,-0.4826204934114163,-1.1510908742354324,-1.2078740574652833,-1.2053390939282365,1.584724819787841,0.6432929743049498,0.9821613314517271,-1.1091787900464354,-0.8353882867931484,1.8050515631871176,-0.6220321888251844
2020,1,8,-1.380251577984474,1.8435566682795719,1.082688369967715,-1.4857811700156542,-1.634705944621016,-0.31246587847337914,-0.19355979428036035,-1.2981187593841539,-1.1510908742354324,-1.2078740574652833,1.628037407337866,0.5585524337128451,-0.5125080708454193,-1.5308914708923629,-1.1091787900464354,0.4080723232203264,-0.4826204934114163
2020,1,9,-1.406615198769762,1.2643160395984638,1.07327275434637,0.8431223172845509,-1.3722113167475303,-0.3310460976288052,-0.4090026960738153,-1.380251577984474,-1.2981187593841539,-1.1510908742354324,1.8435566682795719,1.082688369967715,-1.4857811700156542,-1.634705944621016,-1.5308914708923629,-0.31246587847337914,-0.19355979428036035
2020,1,10,-1.4035732425253056,0.5989720742215296,1.2270611428283371,0.252206507074051,-0.7611582485830234,-0.5693333040654684,0.39276745084834286,-1.406615198769762,-1.380251577984474,-1.2981187593841539,1.2643160395984638,1.07327275434637,0.8431223172845509,-1.3722113167475303,-1.634705944621016,-0.3310460976288052,-0.4090026960738153
2020,1,11,-1.3797445852770645,0.746652342614988,0.8535750565149874,-0.07801115157299308,-0.777833112238921,0.0939565121996571,-1.158374000087168,-1.4035732425253056,-1.406615198769762,-1.380251577984474,0.5989720742215296,1.2270611428283371,0.252206507074051,-0.7611582485830234,-1.3722113167475303,-0.5693333040654684,0.39276745084834286
2020,1,12,-1.3163704968508916,1.507492735963678,1.1266279095339913,0.2695863838449482,-0.5723557600920532,0.4660182448741046,-0.4244820301981089,-1.3797445852770645,-1.4035732425253056,-1.406615198769762,0.746652342614988,0.8535750565149874,-0.07801115157299308,-0.777833112238921,-0.7611582485830234,0.0939565121996571,-1.158374000087168
2020,1,13,-1.2900068760656036,1.1281162160977594,0.45498066187805064,-0.9122452365760514,-1.1538243927380323,-0.5021002140921674,-0.36255657884797626,-1.3163704968508916,-1.3797445852770645,-1.4035732425253056,1.507492735963678,1.1266279095339913,0.2695863838449482,-0.5723557600920532,-0.777833112238921,0.4660182448741046,-0.4244820301981089
2020,1,14,-1.332594263487992,1.1578610051381635,0.6715398211689846,-0.8601056062633602,-1.2318197227414247,-0.4678195737854239,0.23035352741279586,-1.2900068760656036,-1.3163704968508916,-1.3797445852770645,1.1281162160977594,0.45498066187805064,-0.9122452365760514,-1.1538243927380323,-0.5723557600920532,-0.5021002140921674,-0.36255657884797626
2020,1,15,-1.3513529936621391,1.6880488238228268,1.0701342158059215,-1.0512842507432278,-1.2248270379824997,-0.900128107300156,1.1374020039051065,-1.332594263487992,-1.2900068760656036,-1.3163704968508916,1.1578610051381635,0.6715398211689846,-0.8601056062633602,-1.2318197227414247,-1.1538243927380323,-0.4678195737854239,0.23035352741279586
